,plant,start
136,Kamalaghat 50 MW PP,"1 January, 2018"
137,Noapara 100 MW PP,"18 April, 2018"
138,Kusiara 163 MW CCPP,"27 April, 2018"
139,DaudKandi 200 MW PP,"27 April, 2018"
140,"Kodda, Gazipur 300 MW PP","10 May, 2018"
144,"Bramhongaon, Keraniganj 100 MW PP","30 May, 2018"
145,Mymensingh 200 MW PP,"16 June, 2018"
146,"Aowrahati, Keranigonj 100 MW PP","29 June, 2018"
147,Kadda 149 MW PP,"12 July, 2018"
148,"Pangaon, keraniganj 300 MW PP","10 August, 2018"
149,Power import (2nd HVDC),"10 September, 2018"
150,"Teknaf, Coxsbazar 20 MW Solar Park","15 September, 2018"
151,Sirajganj 400±10 MW CCPP,"04 October, 2018"
152,"Rupsa, Khulna 105 MW PP","14 October, 2018"
153,Chandpur 200 MW PP,"09 November, 2018"
154,"Julda ,CTG 100 MW PP (Unit-3)","09 November, 2018"
155,Ashuganj 150 MW PP,"27 November, 2018"
159,Sirajgonj 225 MW CCPP (3rd Unit) (ST Unit),2019-01-20 00:00:00
160,Bibiana #3 CCPP,"06 February, 2019"
161,"Modumoti, Bagerhat 100 MW PP","15 April,2019"
162,Gazipur 100 MW PP,"25 May,2019"
163,Kaptai Solar Power Plant,"28 May, 2019"
164,Siddirganj 335 MW CCPP ST Unit,"9 September, 2019"
167,Baghabari 200 MW PP,"16 February, 2019"
168,Jamalpur 115 MW Power Plant,"19 February, 2019"
169,Bogura 113 MW PP (unit-2),"30 March, 2019"
170,Sirajganj 400±10 MW CCPP,"09 April, 2018"
171,Shikalbaha 105 MW PP,"24 May, 2019"
175,"Anowara, Chattogram 300 MW PP","22 June, 2019"
176,"Majipara, Tetulia Solar plant","23 July, 2019"
177,Rangpur 113 MW Power Plant,"12 August, 2019"
178,Shikalbaha 110 MW PP,"20 August, 2019"
179,"Shikalbaha, Chattogram 54 MW PP","31 August, 2019"
180,Bogura 113 MW Power Plant (Unit-1),"17 November, 2019"
181,Feni 114 MW Power Plant,"24 November, 2019"
182,"Choumohoni, Noakhali 113 MW Power Plant","31 December, 2019"
186,Sylhet 150 MW PP Conversion,"14 March, 2020"
187,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)","15 May, 2020"
190,"Julda, Chattogram 100 MW PP (Unit-2)","20 March, 2020"
191,Meghnaghat 104 MW Power Plant,"30 June, 2020"
192,"Sutiakhali, mymensing 50 MW Solar PP","04 November, 2020"
193,Manikgonj 162 MW PP,"01 December, 2020"
194,Tangail 22 MW PP (Duel Fuel),"20 December, 2020"
198,Bibiana South 383 MW CCPP,2021-01-28 00:00:00
199,Shajibazar 100 MW PP,2021-02-01 00:00:00
200,Shirajgonj 6.55 MW Solar PP,"30 March, 2021"
201,Ghorasal 416 MW CCPP (3rd Unit Repowering) GT,"01 April, 2021"
206,"Potiya, Chattogram 116 MW PP","04 January, 2021"
207,Potuakhali 150 MW PP,"18 January, 2021"
208,Bhairab 54 MW PP,"08 March, 2021"
209,Manikgonj 35 MW Solar PP,"12 March, 2021"
210,Bhola 220 MW CCPP,"09 June, 2021"
215,Ashugonj 400 MW CCPP (East),"December, 2021"
218,"Kanchan, Narayangonj 55 MW PP","December, 2021"
219,Hatia 15 MW Power Plant,"December, 2021"
223,"Mirsorai, Chittagong 150 MW PP","February, 2022"
224,Ghorasal 3rd Unit Repowering ST,"March, 2022"
225,Ghorasal 4th Unit Repowering,"June, 2022"
226,Khulna 330 MW CCPP (D/F),"June, 2022"
227,Sreepur 150 MW  Power Plant,"December, 2022"
