,plant_name,capacity_mw,plant_name_alt,fuel_type_x,own_x,search_name,search_year,extracted_year
68,Feni Lanka Power 114 MW PP,114.0,Lanka Power Limited - Feni,HFO,IPP,Feni Lanka Power 114 MW PP 114.0 Lanka Power Limited - Feni HFO IPP,,
73,Summit Bibiyana - II Power Co Ltd. 341 MW,341.0,Summit Bibiyana II Power Company Ltd.,GAS,IPP,Summit Bibiyana - II Power Co Ltd. 341 MW 341.0 Summit Bibiyana II Power Company Ltd. GAS IPP,,
74,Summit Meghnaghat Power Co.Ltd.,305.0,Summit Meghnaghat Power Ltd.,GAS,IPP,Summit Meghnaghat Power Co.Ltd. 305.0 Summit Meghnaghat Power Ltd. GAS IPP,,
76,Bheramara 360 MW CCPP (NWPGCL),410.0,North West Power Gen (NWPGCL)- Bheramara,GAS,Public,Bheramara 360 MW CCPP (NWPGCL) 410.0 North West Power Gen (NWPGCL)- Bheramara GAS Public,,
79,Import from Tripura (1st Phase),100.0,NVVN Ltd. - India 160 MW (Tripura),IMPORT,IMPORT,Import from Tripura (1st Phase) 100.0 NVVN Ltd. - India 160 MW (Tripura) IMPORT IMPORT,,
80,Import from Tripura (2nd  Phase),60.0,NVVN Ltd. - India 160 MW (Tripura),IMPORT,IMPORT,Import from Tripura (2nd  Phase) 60.0 NVVN Ltd. - India 160 MW (Tripura) IMPORT IMPORT,,
81,Sirajgonj 210 MW CC (NWPGCL) Unit-2,220.0,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),GAS,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-2 220.0 North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2) GAS Public,,
83,Julda 100 MW Unit - 2 (Acorn ),100.0,Acron Infrastructure Services Ltd. Unit-2,HFO,IPP,Julda 100 MW Unit - 2 (Acorn ) 100.0 Acron Infrastructure Services Ltd. Unit-2 HFO IPP,,
87,Gazipur 100 MW PP,105.0,RPCL - Gazipur (105MW),HFO,Public,Gazipur 100 MW PP 105.0 RPCL - Gazipur (105MW) HFO Public,,
89,Sembcorp NWPGCL,414.0,Sembcorp NWPC Ltd. - Sirajgonj (282MW),GAS,IPP,Sembcorp NWPGCL 414.0 Sembcorp NWPC Ltd. - Sirajgonj (282MW) GAS IPP,,
91,Baraka Shikalbaha 105MW PS,105.0,Baraka Shikalbaha Power Ltd. (105MW),HFO,IPP,Baraka Shikalbaha 105MW PS 105.0 Baraka Shikalbaha Power Ltd. (105MW) HFO IPP,,
92,Confidence Power  Ltd. 113MW Rangpur,113.0,Confidence Power Ltd. - Rangpur,HFO,IPP,Confidence Power  Ltd. 113MW Rangpur 113.0 Confidence Power Ltd. - Rangpur HFO IPP,,
93,Bogura 113 MW PP (Confidence) Unit-1,113.0,Confidence Power Ltd. (Unit-1),HFO,IPP,Bogura 113 MW PP (Confidence) Unit-1 113.0 Confidence Power Ltd. (Unit-1) HFO IPP,,
94,Karnaphuli Power Ltd.,110.0,Karnaphuli Power Ltd.,HFO,IPP,Karnaphuli Power Ltd. 110.0 Karnaphuli Power Ltd. HFO IPP,,
95,United Jamalpur PPL,115.0,United Jamalpur 200MW,HFO,IPP,United Jamalpur PPL 115.0 United Jamalpur 200MW HFO IPP,,
96,Confidence CPBL- 2 Bogura,113.0,Confidence Power Ltd. (Unit-2) - Bogra,HFO,IPP,Confidence CPBL- 2 Bogura 113.0 Confidence Power Ltd. (Unit-2) - Bogra HFO IPP,,
97,Khulna 225 MW (NWPGCL),230.0,North West Power Gen (NWPGCL)- Khulna,HSD,Public,Khulna 225 MW (NWPGCL) 230.0 North West Power Gen (NWPGCL)- Khulna HSD Public,,
100,Ashugonj 150 MW (Midland East),150.0,Midland East Power Company Ltd.,HFO,IPP,Ashugonj 150 MW (Midland East) 150.0 Midland East Power Company Ltd. HFO IPP,,
101,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,149.0,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),HFO,IPP,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance 149.0 ACE Alliance Power Ltd. (149MW) (Summit Gazipur) HFO IPP,,
102,Sembcorp Energy India Ltd.,200.0,Sembcrop Energy India Ltd. 250MW,IMPORT,IMPORT,Sembcorp Energy India Ltd. 200.0 Sembcrop Energy India Ltd. 250MW IMPORT IMPORT,,
103,Power Import (Bheramara-Bharampur Phase-2),300.0,NVVN Ltd. - India 300 MW,IMPORT,IMPORT,Power Import (Bheramara-Bharampur Phase-2) 300.0 NVVN Ltd. - India 300 MW IMPORT IMPORT,,
104,Manikganj 162MW P0wer Generation,162.0,Manikgonj Power Generations Limited (162MW),HFO,IPP,Manikganj 162MW P0wer Generation 162.0 Manikgonj Power Generations Limited (162MW) HFO IPP,,
105,United Power Co. Ltd.200 MW Exp,195.0,United Mymensingh Power Ltd. (200MW),GAS,IPP,United Power Co. Ltd.200 MW Exp 195.0 United Mymensingh Power Ltd. (200MW) GAS IPP,,
106,United Mymensing Power(UMPL) 200MW Generation,200.0,United Mymensingh Power Ltd. (200MW),HFO,IPP,United Mymensing Power(UMPL) 200MW Generation 200.0 United Mymensingh Power Ltd. (200MW) HFO IPP,,
107,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),300.0,Summit Gazipur II Power Ltd. - Kodda (300MW),HFO,IPP,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit) 300.0 Summit Gazipur II Power Ltd. - Kodda (300MW) HFO IPP,,
108,United Anwara 300MW PS,300.0,United - Anawara (300MW),HFO,IPP,United Anwara 300MW PS 300.0 United - Anawara (300MW) HFO IPP,,
111,Ghorashal 78 MW QRPP (3 Yrs Max Power),,MAX POWER LTD.-GHORASAL,GAS,RENTAL & SIPP,Ghorashal 78 MW QRPP (3 Yrs Max Power)  MAX POWER LTD.-GHORASAL GAS RENTAL & SIPP,,
115,"Shahjibazar 70 MW GT, Habiganj",70.0,Shahjibazar Power Station,GAS,Public,"Shahjibazar 70 MW GT, Habiganj 70.0 Shahjibazar Power Station GAS Public",,
117,Fenchuganj C.C. (Unit #2),104.0,Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),GAS,Public,Fenchuganj C.C. (Unit #2) 104.0 Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit) GAS Public,,
118,Karnafuli Hydro,230.0,Karnafuli Hydro Power Station,HYDRO,Public,Karnafuli Hydro 230.0 Karnafuli Hydro Power Station HYDRO Public,,
123,Sylhet 225 MW CCPP,231.0,Sylhet 225 MW Peaking Power Plant,GAS,Public,Sylhet 225 MW CCPP 231.0 Sylhet 225 MW Peaking Power Plant GAS Public,,
124,Baghabari 50 MW Peaking RE,52.0,Baghabari 50 Peaking Power Plant,HFO,Public,Baghabari 50 MW Peaking RE 52.0 Baghabari 50 Peaking Power Plant HFO Public,,
129, Ghorasal Repowered CCPP Unit-4,210.0,Ghorashal Power Station 630MW,GAS,Public, Ghorasal Repowered CCPP Unit-4 210.0 Ghorashal Power Station 630MW GAS Public,,
131, Ghorasal TPP Unit-6,0.0,Ghorashal Power Station 630MW,GAS,Public, Ghorasal TPP Unit-6 0.0 Ghorashal Power Station 630MW GAS Public,,
136,"Barapukuria Coal based S/T (unit 1,2)",250.0,Barapukuria Power Station 1,COAL,Public,"Barapukuria Coal based S/T (unit 1,2) 250.0 Barapukuria Power Station 1 COAL Public",,
139,Shikalbaha 225 MW PS,225.0,Shikalbaha 225 MW Shamipur (Dual Fuel),GAS,Public,Shikalbaha 225 MW PS 225.0 Shikalbaha 225 MW Shamipur (Dual Fuel) GAS Public,,
141,Katakhali 50 MW PP,50.0,Katakhali 50MW Power Plant,HFO,Public,Katakhali 50 MW PP 50.0 Katakhali 50MW Power Plant HFO Public,,
146,Haripur GTPP,32.0,Sbu Haripur (BPDB Book Costs),GAS,Public,Haripur GTPP 32.0 Sbu Haripur (BPDB Book Costs) GAS Public,,
149,APR Energy 300MW,300.0,APR Energy 300MW,HSD,IPP,APR Energy 300MW 300.0 APR Energy 300MW HSD IPP,"The APR Energy power plant was established in 2004. It has built a reputation for execution excellence and flexibility in adapting to local conditions. APR Energy has experience working in diverse locations to build, own, and operate power plants, ranging from short-term 30 MW projects to long-term 300 MW plants. [Source](https://www.aprenergy.com/about/our-business/)",2004
150,Bogura 20 RPP (3 Yrs) Energy Prima,20.0,"ENERGYPRIMA, BOGRA",GAS,RENTAL & SIPP,"Bogura 20 RPP (3 Yrs) Energy Prima 20.0 ENERGYPRIMA, BOGRA GAS RENTAL & SIPP","I apologize, but I couldn't find the establishment year of Bogura 20 RPP Energy Prima based on the available sources and websites.",
151,"IEL, Meghnaghat 100 MW",100.0,IELCONSOURTIUM & ASSOCIATES,HFO,RENTAL & SIPP,"IEL, Meghnaghat 100 MW 100.0 IELCONSOURTIUM & ASSOCIATES HFO RENTAL & SIPP","Based on the research, I couldn't find the establishment year of the Meghnaghat 100 MW power plant.",
