,own,plant_name,fuel_type,capacity_mw,net_generation_gwh,usage
138,IPP,20 MW Solar Teknaf,Solar,20.0,33.4382,0.19
139,IPP,Sympa Solar Power 8 MW,Solar,8.0,11.269,0.16
140,IPP,50 MW HDFC Solar Power Plant,Solar,50.0,64.8588,0.15
141,IPP,Manikganj 35MW Spectra Solar Park Ltd.,Solar,35.0,29.1477,0.1
142,IPP,Sailo Solar Power Plant Shantahar,Solar,,0.1646,
143,IPP,Shailla 400 KW Solar,Solar,,1.0031,
145,RENTAL & SIPP,Bogura RPP (24MW) 15 yrs,GAS,22.0,167.4902,0.87
146,RENTAL & SIPP,Bogura 20 RPP (3 Yrs) Energy Prima,GAS,20.0,30.3411,0.17
147,RENTAL & SIPP,Ghorashal 78 MW QRPP (3 Yrs Max Power),GAS,,102.4493,0.35
148,RENTAL & SIPP,Tangail SIPP (22 MW) (Doreen Power Ltd.),GAS,22.0,141.1988,0.73
149,RENTAL & SIPP,Feni SIPP (22 MW) (Doreen Power Ltd.),GAS,22.0,160.0048,0.83
150,RENTAL & SIPP,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),GAS,33.0,258.2576,0.89
151,RENTAL & SIPP,Ashugonj  55 MW 3Yrs Rental (Precision Energy),GAS,55.0,208.8067,0.43
152,RENTAL & SIPP,Sahzibazar 86 MW RPP (15 yrs),GAS,86.0,605.4847,0.8
153,RENTAL & SIPP,Kumargao 10 MW Desh Combridge (15 Yrs),GAS,10.0,61.4628,0.7
154,RENTAL & SIPP,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),GAS,51.0,353.0717,0.79
155,RENTAL & SIPP,Fenchugonj 50 MW Rental (Energy Prima),GAS,,219.7947,0.86
156,RENTAL & SIPP,Barabkundu SIPP 22 MW (Regent Power),GAS,22.0,157.7652,0.82
157,RENTAL & SIPP,"Malancha, EPZ, Ctg",GAS,,202.7794,0.0
158,RENTAL & SIPP,Bhola 32 MW (Venture Energy Resources Ltd.),GAS,33.0,199.538,0.69
159,RENTAL & SIPP,Shahjahanullah Power Gen Co. Ltd.,GAS,,102.6552,0.47
160,RENTAL & SIPP,Aggreko 95 MW Bhola,GAS,95.0,511.5654,0.61
161,RENTAL & SIPP,KPCL( 115 MW) U-2,F.oil,115.0,433.6464,0.43
162,RENTAL & SIPP,Khanjahan Ali Noapara  40 MW,F.oil,,92.2828,0.29
163,RENTAL & SIPP,Summit  Power Co. Ltd Madangonj (100 MW),F.oil,102.0,353.3363,0.4
164,RENTAL & SIPP,"IEL, Meghnaghat 100 MW",F.oil,100.0,270.9907,0.31
165,RENTAL & SIPP,Shiddirganj  Dutchbangla 100 MW,F.oil,100.0,366.3626,0.42
166,RENTAL & SIPP,Amnura 50MW Sinha Power,F.oil,50.0,34.312,0.08
167,RENTAL & SIPP,"Power Pac Mutiara,Keranigonj,100MW",F.oil,100.0,217.866,0.25
168,RENTAL & SIPP,Julda Acorn Infra.service Ltd.100MW,F.oil,100.0,189.9422,0.22
169,RENTAL & SIPP,Katakhali (Northern) Peaking,F.oil,50.0,21.6708,0.05
171,IMPORT,Power Import (Bheramara-Bharampur Phase-1),Import,500.0,1730.726,
172,IMPORT,Import from Tripura (1st Phase),Import,100.0,1028.818,
173,IMPORT,Import from Tripura (2nd  Phase),Import,60.0,1023.5395,
174,IMPORT,Power Import (Bheramara-Bharampur Phase-2),Import,300.0,2539.05,
175,IMPORT,Sembcorp Energy India Ltd.,Import,200.0,1781.223,
